Image,Label
12874,1 4
21466,0
3610,4
2095,2 4
28909,4
21570,3
30580,4
8077,4
9642,4 6
1918,4
15475,7
29442,2
29607,7
22424,4 7
12755,1 2 6
9268,3 6
5220,9
1841,2 4
9876,4 6
29259,3
18306,9
6622,6 7 8
11455,2 4
7832,7
16789,4
21974,7
30956,4 6
2829,6
4716,2 3
23981,4 6
19968,6
4688,4
26253,0
4290,1
9048,3 6
5544,1 4 7
10458,3
26572,4 6
2653,4
4277,2
10412,4
26096,9
17360,4
2282,4
20077,4 6
11222,4 6
25483,0 4
6375,4 6
24564,2 4
3589,4
5110,9
15515,1 4 6
9886,0 4
12987,7
136,4
29337,6
20692,0 4 5
12639,2
19449,4
27182,4
9720,4
1315,2 4 6
591,1
11036,3 5
1532,5
2966,4
7171,6
6793,4
29753,4
13452,4
12799,0
14507,6
6699,1
30694,0 4
26460,6 7
4364,6 9
8961,4
24007,4 6
6033,7
23613,1 4
28659,0 2
28068,4 5
25925,6
23015,3 4
2604,3 4
14048,6
30219,2 6
11053,3
30676,0 2 4
5545,4 6
12217,2
9419,1 4
16423,4 6
28061,4 6
7770,4 6
17526,6
7223,6
1644,3 4 7
638,4 6
10803,4
23419,4
2091,4 6
25862,4
26068,0 4 7
23944,4
12182,0 4
27329,4
27473,3 6
21934,4 6
30333,6
26493,4 7
17446,4
22868,6
20683,8
23180,9
10861,1 4
6641,2 4 6
6621,1 6
2485,3
14476,6
12587,5
7103,6
6760,6
24492,0
5099,1 4 6
11011,6
24971,0
21071,7
7822,4
21746,6
10406,4 6
25971,8
30384,6 7
22018,3 7
24099,4
7624,9
20848,6
19122,4 6
6896,4
18544,4
6398,4
3957,3 4
23332,4
10504,3
18187,1
108,1
9935,0
1916,2
8182,9
19069,4 7
19444,6 7
23159,4
892,1 6 7
11189,7
2347,1 4 6
9331,2
289,5 6
15953,1 3 4
29437,0 4
19631,3 4
2774,6 8
4722,2
2665,3 4 6
23365,8
15190,4
11453,4 8
30260,4 6
13955,4
5069,2
18888,5
13040,4
19459,0 4
18488,0 4 6
26507,1 4
1324,2
15002,4 8
8155,4
19360,4 7
23377,1 4 7
16181,2
31013,1 6
10866,3 9
268,4
3167,1 4 6
9828,9
4854,4 6
5995,0
7170,0 6
26260,4
11741,9
7297,4 6
14543,3
26417,2 4
23336,0 2
13238,2
7475,0 4
13146,4 6
19575,6
24111,2 4
9830,0 4
22824,4 6
13655,6
17193,4 6
26332,4
2800,9
4911,1 4 7
28283,5
215,6 7
23857,3
17061,7
14714,9
19389,0 4 7
13219,0 4
21640,7
23395,4 6
498,1
29279,8
22155,9
1662,2
30540,2 4
4749,0
222,4 6 8
12180,2 4
14422,4 6
26473,6
28257,4
6125,1 4 6
12856,3
3247,4 6
6184,4 6
20344,0 2
26448,4
17639,9
17065,2
11512,0 4
9578,4 6
19855,0
18982,2 4
25440,6 7
22795,4
27914,2
18494,4 8
3069,3
14906,7
16111,1
14552,4
18294,6
2969,1
17143,3
20500,3 7 9
1024,4
23534,6
12331,4
28065,4
5175,1 7
16927,7 9
25966,3
13413,6
24165,6
18698,6
18356,3 4
13262,7 9
24724,4
12533,2
22450,3 4
28614,4
9624,4 8
4542,4 5 6
13733,0
1015,0 4
12200,4 6
6224,7
5617,9
14104,4 6
26152,4 6
16142,0
7043,7
18862,9
11738,4
21265,0
7641,3 4
1851,6
348,4 5
365,6
30348,3
3845,4
6187,4 6 7
2127,7
1622,6 9
29303,4 7
22435,1 4
21523,9
18588,3 4
26049,9
12413,4 6 7
25215,1 4
24532,3
1451,0
24956,1 4 6
14036,4
15937,4
13871,9
4062,4
7969,4 7
15844,6
20896,2 4
4814,0
24336,6
13000,1
7608,7
271,6 9
1185,4
7951,2 4 6
521,2 4
19524,5
12894,3 7
13663,6 8
22841,4 6
7520,0
7727,9
3834,5
13647,4
3969,4 5
30239,0 4
10844,4
11459,4
13239,6
15579,4 7
29264,6
17226,6 7
16807,2 4
2999,4
749,6
16056,2
17965,6
2595,1 4
18682,4 6
7743,0
8099,3
5149,2 4 9
29125,4 8
24608,5
1433,4 6
26796,1 4
18744,0
23036,2 4
3567,6
30033,6
29793,2 4
14768,0 4
30616,4 6
1363,8
25933,7
13116,6
1360,4 5
7631,4 7
18392,7
7224,4 6 7
21701,4
28223,3 4 6
3357,7
1950,4
30656,3 4
18483,6
24092,7
18511,3 4
25689,4 6
14909,4
30744,1 4
9289,3 4 6
277,1 6
18335,0
15502,4 5 6
30730,2 4
3705,4 5
30202,6
14458,4
10348,9
19231,4 6
3993,2 7
30777,7
16527,4
8655,2 4
26217,2
26487,4
12117,6
27694,1
23824,4 6
27089,4
8492,1 6
17184,4 6
1989,0 2 7
24239,4 5
12889,2 4 6
30509,1 4
25684,1
11169,1
14910,3
29340,1 6
17461,3 4
1347,8
29574,7
26618,0
13709,6
2865,7
22558,7
30135,2
25359,1 4
24326,9
25361,5
25121,0
360,1 4
24308,7
8970,6
11181,5
1246,4
14434,4 6
8157,4 6
4792,0 4
21661,4 6
778,1 4
26845,4
22000,0
14075,4 6
18608,2
15029,4 7
8519,6
4908,4
2962,4 6
30547,4
10837,1 4
8062,4 5 8
14209,2 3 4
28478,6 8
7217,6 7
21004,3
2253,9
24170,6
17241,4
15158,2
22944,2 4
30781,1 4 7
6972,4 7
20609,1
27796,4 7
23228,1 4
13419,4 8
25117,4
12186,4
3026,6
6628,4
3463,3 4
29774,2 6
10752,3 4 6
17910,9
15178,0
11068,5
26383,9
3783,0 9
4648,0 4 6
6060,0
25119,0
30456,2 6 9
27756,8
4424,4 7
1308,9
3245,6
21524,6
4865,3 4
12481,9
18837,2 4
148,6
23141,4
26284,4
18917,4 8
27094,1 4 6
26354,4
6198,0 2
23093,4
21989,6 8
25476,4 8
3414,0 4 7
8116,4 6
516,4 6
11100,0 4
16269,3 4 5
15769,4 5
2625,4 7
19352,1
30565,7
16557,4
26804,4
12152,7
12210,4 6
4186,1
17589,4 6
24085,4 6
12906,9
21058,1
7674,6 7
17537,4 7
18780,9
2419,6
3093,4
28693,1
25943,4
13463,4 6
13919,5
26481,4 6
8173,6
22252,2
14230,4 6 7
9985,1
19234,7
3377,2
18177,0 4
9527,2 6
22559,5
14118,3
12417,1
6030,0 4
17538,9
19104,6
9311,6
12440,6
6191,6
11475,4 7
5826,4
4014,4 6
10555,3
14444,3
25873,3 4 7
11737,2
18902,0 2 7
20950,8
7321,3 8
4067,2 4
8022,2 4
7763,4 6
5879,0
6513,4 6
30512,4
11156,4 6
3188,9
23429,6
21915,4 6
30014,2 4
19685,9
15532,4 7
1325,2 4 6
22266,1
28859,3
7657,4 6
188,1 4
22447,3 6
8389,1
29285,4
23331,0 4
3494,4 6
30743,1 6
31054,1 3
7502,4 6
15717,1 2
3352,4 8
532,6 9
27257,0 4
28684,3
2603,4
16443,9
30706,4 5
1177,3
20924,4
7304,4 6
29942,9
12185,6
21438,4 6
27297,5
3045,5
17659,0 4
6609,4 7
17522,2 6
27190,6 7
1627,2 4 6
28961,4
16170,8
16160,7
11273,1
20613,9
15554,3
19988,4
26553,7
28943,0
30447,2
3200,6 7
24876,4 7
13068,0 2
2616,4 7
18729,7
12503,0 4
19990,4
2569,2
13895,8
30549,2 4
19183,1 4 6
20708,9
286,3 4
9070,4 9
23245,9
12154,4
838,0
9725,1
4275,9
17503,6
12539,6
23026,2 7
484,7
27491,4
17714,0
1328,7 8
1719,4
18841,3 4
1984,2 6
23960,4 6
29282,3
8385,4
2823,4
7252,4 6
30824,2
8578,0
27583,2 4
5751,4
6003,6
285,6
9011,0 4
13190,3 6 9
4182,4 6
10230,2 4
18493,4
169,1
6115,4 7
11682,0
11490,1 4
7351,9
28602,3
27049,3 4
29328,1
1596,0
1859,0
22223,4
1698,7
6244,0
3711,4 6
8624,4
21079,1 4
14350,4
26102,4 6
13732,3
30929,2
1970,4 5
30769,4 6
28764,4 6
6903,0 4
24732,6
10445,2
3575,4
6906,3 4
17160,6
26361,1 4
19417,6 7
5656,9
6583,6
13242,0
7931,4
21782,3 8
15179,4 8
15104,2 4
26652,0 2
12013,4
9891,0 9
6429,6
5554,3
2944,2 4 6
23499,0
25709,3 6
10226,9
27826,3
27407,4 6
20614,2
1444,4
15621,0 4
13082,2 9
15620,4
3529,3 4
4256,2 4
25655,3 4
19057,9
30741,4 6
2085,9
15383,9
17247,4 8
28802,1 6
13653,4 6
24466,4
17317,1 3
25237,4 5
2187,0 4
8212,7
20706,4
25162,4 6 8
19021,0
6368,4
6240,3
22819,4
27566,1 4
15521,2
14588,4
23868,4 6
16453,1 4
18166,4 6
16856,4 6
13969,3
17044,0
16013,2 4
9210,4
5079,4
14619,6 8
7415,4 7
20016,0
16200,7
27466,4
19469,4
6086,0 8
18126,1
1498,5
14725,0
22220,0 4
16128,0
8355,4 6
14096,3
17544,6 7
27921,4 6 7
13660,6
20261,4
20629,4
5988,0 4
1448,4 6
21263,0 8
10974,6
16687,6
11606,0
6418,4
13048,6
628,8
8445,3
8274,7
5507,4 7
3890,4
8122,0 6
2663,0
11387,0 4
20711,4 6
19017,6
17946,3
1180,4
5972,2
12283,2 4 6
5350,4 6
23970,1 6
9194,3
22457,6
8753,3 4 6 8
23539,4 6
14754,2 4
11615,2
3669,7
3191,2 3 4
10652,9
12980,3
3680,7
10874,4
24375,6
24836,3 4
16268,1
8581,1 7
327,4
17909,4 6
20109,0
16024,0
2840,0 4
28083,9
26436,4 8
11694,4 6
3922,4
17981,4 6
24879,2 4 7
4701,7
15065,4 6
5224,0
4530,4
20890,6
22794,9
16994,4 6
21673,6
22685,4
13364,6
18960,2 4
8663,4 7
180,4 6
11060,6
25522,3
1209,0
21132,2 3 4
25872,4 7
2311,4
937,7
3624,6 9
13873,2
28009,2 4
1625,4 5
940,0
13980,6 7
5521,8
21424,3
1894,3
12143,3 4 6
26863,4 7
4667,1
21336,4 6
2358,4
5208,4
4437,4 6
13167,1 6
6195,5
21593,4
21852,0
6213,5
30955,0 4
22007,4
25902,4 6
25249,3
27917,4 7 8
29689,0
2772,4 6
25013,0 6
5037,6
24060,0
29207,7
3721,8
25259,4
21628,2 4 6
19817,6
4514,9
15791,4 6 7
10925,0 4
15672,0
23394,4
23414,4
29419,6
4382,6 9
23364,2 4
23514,0 4
25518,0
20772,8
10912,6
21609,4
19534,2 4
19867,2
30140,6
16711,4 6
7972,7
10178,3
11952,4 6
12320,1 3 4
20557,1 2
21727,4 7
15115,4
2437,3 4
1768,7
14690,5
5145,4 6
13173,0
23089,1
281,2 4
9053,1 4
4237,2 6
12926,7
22649,6
27876,4 6
20736,4
25860,4
23973,5
24357,2 4
12155,4 8
17640,9
21854,0 2 4
30263,4
17943,9
9767,4
26530,3 4 7
13342,4 6
16501,0
24863,4 6
15712,6
996,2 4
21530,2 4
30063,4 6
30450,0 4
6489,0
6256,7
23865,0
14786,6
731,4 6
17624,6
29174,0 4
8354,4
10274,4
29725,3 4
22265,6 9
29130,0 4
15650,4 6
29094,3 9
18401,4
23540,2 3
1438,5
14467,4
26795,1 6
26593,4 6
21241,6
3502,2
3386,2 3
2135,7
26350,0 4
11891,4 7
8718,7
23198,4 7
5410,5
15313,9
13965,2 4
27054,1
3642,4 5
6636,2 4 8
20955,1 4
29385,3
22770,9
15130,1
9376,5
11960,6
3905,0
22253,7
11642,0 4
21016,4 6
10251,6
18570,5
29083,4 6 8
14174,4 6
17597,4
19199,1
5362,4
11648,8
2221,6 7
9881,4 5
12051,6
23618,1 4 6
24999,4
24478,4
4666,4
9769,5
26819,3 4
8209,4
10577,1 6
16466,0 4
5605,2 3 4
28818,3
10725,7
7353,4 6 8
24622,4
5630,4
15499,8
29485,6
16218,0
11867,7
22851,1 6
10340,2 4
30979,6
26114,4
11391,6 7
20512,4
21331,6 9
11146,1
25802,6 8
120,6
6800,1
28005,3 4
2606,4 6
27115,4 6
8222,6
24155,2 4 6
24073,4
5034,3 4 7
4257,4 6 7
22701,4 6
594,1
3070,6 8
6797,4 6
4297,3 6
10795,4
7386,4 8
9921,7
15676,5
9901,4
113,4
12823,4
30283,3
27478,3
28489,2 4
6471,2 4
18248,1
11148,6
8713,0
8853,9
3938,4 6
19850,2 9
30762,5
9211,4
17055,1 4
19053,4
28874,6
12376,4 6
25715,0
2567,0 4
31023,1
19361,2 4
24417,4
1426,4
